Name,Contact/Brewer,Address,Town/Suburb,Postcode,Phone,Email,Website,Operating Hours,Beer Selection,,,,,,,,,
Arctic Fox Brewing,Brad Bannigan or Fabian Apps,1/45-47 Sinclair Road,Dandenong,3175,9792 1800,brad@arcticfox.com.au or fab@arcticfox.com.au,www.arcticfox.com.au,NA,,,,,,,,,,
Bellarine Brewing Company,Peter Kenny,2270 Portarlington Road,Bellarine ,3222,03 5259 3310,pkenny@bellarineestate.com.au,www.bellarinebrewingcompany.com.au,,"Bellarine Blonde,Lonsdale Lager, Port
Pilsner, Honey Wheat Queenscliff Ale, Red Celtic Style
Heads Ale, Bellarine Bitter, or Mussel Stout",,,,,,,,,
Bintara Brewery,,Fraser Road,Rutherglen,3685,0447 327 517,info@vintara.com.au,www.vintara.com.au,"9.00 am ~ 5.00 pm
7 days a week","Crystal Wheat
Pilsner
Pale Ale
Black Beer
Seasonal beers every quarter",,,,,,,,,
Boynton’s Brewing Company,Kel Boynton,Great Alpine Road,Porepunkah,3741,03 5756 2356,brewing@boynton.com.au,,,,,,,,,,,,
Bridge Road Brewers,Ben Kraus,Ford St,Beechworth,3747,5728 2703,info@bridgeroadbrewers.com.au,www.bridgeroadbrewers.com.au,"11.00 am ~ 5.00 pm (Monday)
Closed Tuesdays
11.00 am ~ 6.00 pm
(Wednesday-Saturday)
11.00 am ~ 11.00 pm (Sunday)","Bavarian Wheat
Beechworth Pale Ale
Robust Porter
Australian Ale
Celtic Red Ale
“Bling” India Pale Ale
Chevalier “Hefe Weizen”
Chevalier “Biere De Garde”
Chevalier “Saison”",,,,,,,,,
Bright Brewery,david cocks and scott brandon ,121 Great Alpine Road,Bright,3741,03 5755 1301,info@brightbrewery.com.au,www.brightbrewery.com.au,"Afternoons and Evenings
7 days a week","Hellfire Amber Ale
Blowhard Pale
Razor Witbier
Staircase Porter
Fainters Dubbel
Bright Lager
Brewer’s Choice range available at the brewery only",,,,,,,,,
Buckley’s Beers,john o’callaghan,30 Hunter Road,Healesville,3777,03 5962 2701,info@buckleysbeer.com.au,www.buckleysbeer.com.au,"Normally weekends and
public holidays but ring first
to check.","Buckley’s Pilz
Buckley’s Original Ale
Buckley’s Bitter
Buckley’s Dark Bock",,,,,,,,,
Coldstream Brewery,Rod Williams,694 Maroondah Highway,Coldstream,3770,03 9739 1794,info@coldstreambrewery.com.au,www.coldstreambrewery.com.au,"11.00 am ~ 11.00 pm
(Wednesday- Sunday)","Coldstream Bitter/
Special Bitter
Coldstream Pilsner
Coldstream Seasonal Beers:
Summer Ale
Chocolate Winter Ale
Spring Lager
Autumn Porter
Coldstream Cider",,,,,,,,,
Flying Horse Bar & Brewery,,10691-10695 Princes Highway,Warrnambool,3280,03 5562 2254,mattmonk@theflyinghorse.com.au,www.theflyinghorse.com.au,"11.00 am ~ 11.00 pm
(Sunday-Wednesday)
11.00 am ~ 1.00 am
(Thursday-Friday)
10.00 am ~ 1.00 am
(Saturday)","Flagship Beers:
Whale Ale, Dirty Angel
Seasonal Beers such as
Wollaston Wheaty and
Mahogany Porter among
other seasonal varieties",,,,,,,,,
Grand Ridge Brewery,Eric Walters,Main Street,Mirboo North,3871,9778 6996,beer@grand-ridge.com.au,www.grand-ridge.com.au,"11.00 am ~ late
7 days a week
Regular live entertainment.
Open fires and quality,
friendly country service.
Bus tours, corporate and
group functions welcome.","Moonlight 3.3% alc.vol
Natural Blonde 4.5%alc.vol
Brewer’s Pilsener 4.9%alc.vol
Gippsland Gold 4.9%alc.vol
Yarra Valley Gold 4.9%alc.vol
Hatlifter Stout 4.9%alc.vol
Black & Tan 4.9%alc.vol
Moonshine 8.5%alc.vol
Supershine 11%alc.vol",,,,,,,,,
